metric,value
test/test-id-class-airport-task-acc,0.0
test/test-id-class-airport_hangar-task-acc,0.0
test/test-id-class-airport_terminal-task-acc,0.0
test/test-id-class-amusement_park-task-acc,0.0
test/test-id-class-aquaculture-task-acc,0.0
test/test-id-class-archaeological_site-task-acc,0.0
test/test-id-class-barn-task-acc,0.4780701696872711
test/test-id-class-border_checkpoint-task-acc,0.0
test/test-id-class-burial_site-task-acc,0.0
test/test-id-class-car_dealership-task-acc,0.0
test/test-id-class-construction_site-task-acc,0.0
test/test-id-class-crop_field-task-acc,0.7718518376350403
test/test-id-class-dam-task-acc,0.0
test/test-id-class-debris_or_rubble-task-acc,0.0
test/test-id-class-educational_institution-task-acc,0.0
test/test-id-class-electric_substation-task-acc,0.0
test/test-id-class-factory_or_powerplant-task-acc,0.0
test/test-id-class-fire_station-task-acc,0.0
test/test-id-class-flooded_road-task-acc,0.0
test/test-id-class-fountain-task-acc,0.0
test/test-id-class-gas_station-task-acc,0.0
test/test-id-class-golf_course-task-acc,0.0
test/test-id-class-ground_transportation_station-task-acc,0.006756756920367479
test/test-id-class-helipad-task-acc,0.0
test/test-id-class-hospital-task-acc,0.03684210404753685
test/test-id-class-impoverished_settlement-task-acc,0.0
test/test-id-class-interchange-task-acc,0.0
test/test-id-class-lake_or_pond-task-acc,0.0
test/test-id-class-lighthouse-task-acc,0.0
test/test-id-class-military_facility-task-acc,0.5346534848213196
test/test-id-class-multi-unit_residential-task-acc,0.46197181940078735
test/test-id-class-nuclear_powerplant-task-acc,0.0
test/test-id-class-office_building-task-acc,0.0
test/test-id-class-oil_or_gas_facility-task-acc,0.1160714253783226
test/test-id-class-park-task-acc,0.0
test/test-id-class-parking_lot_or_garage-task-acc,0.04174572974443436
test/test-id-class-place_of_worship-task-acc,0.49399399757385254
test/test-id-class-police_station-task-acc,0.0
test/test-id-class-port-task-acc,0.0
test/test-id-class-prison-task-acc,0.0
test/test-id-class-race_track-task-acc,0.14765100181102753
test/test-id-class-railway_bridge-task-acc,0.0
test/test-id-class-recreational_facility-task-acc,0.47315436601638794
test/test-id-class-road_bridge-task-acc,0.0
test/test-id-class-runway-task-acc,0.0
test/test-id-class-shipyard-task-acc,0.0
test/test-id-class-shopping_mall-task-acc,0.011627906933426857
test/test-id-class-single-unit_residential-task-acc,0.23645320534706116
test/test-id-class-smokestack-task-acc,0.6561086177825928
test/test-id-class-solar_farm-task-acc,0.0
test/test-id-class-space_facility-task-acc,0.0
test/test-id-class-stadium-task-acc,0.0
test/test-id-class-storage_tank-task-acc,0.0
